"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer","last_obs"
"  1566 Icarus (1949 MA)",Y,Y,1.07804000683721,.8269521475242672,22.80351024536095,87.95309627755429,31.43364433510509,160.8608829324126,1.0,,2.2726,,.8805454082166947,2460600.5,.0342147,1.11933612301003,"Otto Matic",2024-08-01
"  1620 Geographos (1951 RA)",Y,Y,1.24562787745437,.335621681427412,13.33590217764326,337.1497817435668,277.0069527512796,289.3592723810798,2.56,5.0x2.0x2.1,5.22204,,.7089597751828781,2460600.5,.0299635,1.39024288523748,"Otto Matic",2024-01-27
"  1862 Apollo (1932 HA)",Y,Y,1.470612082034263,.5598715965109902,6.352454347151728,35.55648326281653,286.0329799312636,252.868692344222,1.5,,3.065,,.5526585323941228,2460600.5,.0259785,1.78342724412091,"Otto Matic",2024-02-24
"  1981 Midas (1973 EA)",Y,Y,1.776276404804848,.6504524022220391,39.82114181911287,356.7992148820522,267.8431878776481,258.8082951542606,3.4,,5.22,,.4163305244405071,2460600.5,.00488128,2.36741297000048,"Otto Matic",2023-10-26
"  2101 Adonis (1936 CA)",Y,Y,1.87404407421192,.7642037302707436,1.320190538473162,349.4330566256158,43.68638944948276,230.8185601083117,0.6,,,,.3841796646633869,2460600.5,.0115771,2.56553475892887,"Otto Matic",2020-06-09
"  2102 Tantalus (1975 YA)",Y,Y,1.2900692556161,.299276664015325,64.00477302225309,94.35214906335167,61.51619000317744,78.2705821249276,1.649,,2.384,,.672642858696289,2460600.5,.0436009,1.46530401776344,"Otto Matic",2023-08-11
"  2135 Aristaeus (1977 HA)",Y,Y,1.599704035462614,.5030083774460523,23.07100470174434,191.1143980248977,290.9732714777678,202.31429362723,,,,,.4871297048129824,2460600.5,.0109533,2.02333438841706,"Otto Matic",2020-05-30
"  2201 Oljato (1947 XC)",Y,Y,2.178734634494604,.7106732356018667,2.521874040497041,74.86603347184828,98.37157450756298,334.4237466122912,1.80,,26,,.3064767742895836,2460600.5,.00258759,3.21599013710663,"Otto Matic",2024-09-29
"  2340 Hathor (1976 UA)",Y,Y,.8438349047975313,.4499882329476701,5.861127876701295,211.2896316009839,40.10211834567844,53.40482296856302,0.3,,3.35,,1.271504335125348,2460600.5,.00669398,0.775165491882016,Giorgini,2021-12-05
"  3122 Florence (1981 ET3)",Y,Y,1.769077643911259,.4231067233528605,22.13906706831006,336.0494481184011,27.90139991637929,.6735420688140282,4.9,,2.3581,,.4188743167689887,2460600.5,.0449001,2.35303584848611,"Otto Matic",2024-09-30
"  3200 Phaethon (1983 TB)",Y,Y,1.271472256164252,.8898056970222992,22.31117410991247,265.0963675825222,322.3053737163447,248.9765359888043,6.25,,3.604,,.6874541556174462,2460600.5,.0186897,1.43373383565091,"Otto Matic",2024-09-29
"  3361 Orpheus (1982 HR)",Y,Y,1.210390364661096,.3229052189129245,2.662090644329868,188.6762160830913,302.342978281049,24.53959553914325,0.3,,3.5327,,.7401434278871355,2460600.5,.0138088,1.33166930385533,"Otto Matic",2022-06-04
"  3362 Khufu (1984 QA)",Y,Y,.9895291222763277,.4685275424500192,9.915847778355038,152.4040698667692,55.08988544745781,359.8545460345918,0.7,,,,1.00129305428314,2460600.5,.0133305,0.984353460908805,"Otto Matic",2004-11-27
"  3671 Dionysus (1984 KD)",Y,Y,2.200160728580925,.5419656124664524,13.53820321556961,82.04673856728081,204.3349054188132,131.3517865857613,1.5,,2.7053,,.3020107911970122,2460600.5,.0220469,3.26354657547517,"Otto Matic",2024-01-13
"  3757 Anagolay (1982 XB)",Y,Y,1.83449647857042,.4458874182060453,3.866492223968266,74.92719783539206,17.23513955699219,293.6972140014043,0.5,,9.012,,.3966694465449788,2460600.5,.0372275,2.48475472954228,"Otto Matic",2024-08-03
"  4015 Wilson-Harrington (1979 VA)",Y,Y,2.625597857173762,.6312079762501749,2.798517077068865,266.7292229869436,95.52197218888841,181.7452205592989,4,,3.5736,,.2316657118903256,2460600.5,.0428792,4.25451947690113,"Otto Matic",2024-03-10
"  4034 Vishnu (1986 PA)",Y,Y,1.059564963747586,.4440523058791362,11.16883305266782,157.8904309077271,296.7019120830915,260.4034791009847,0.42,,44.4,,.9036758787583044,2460600.5,.0195172,1.09068561697348,"Otto Matic",2024-08-03
"  4179 Toutatis (1989 AC)",Y,Y,2.543298279464934,.6247568946247843,.4480321665597273,125.3589080429485,277.8770693947662,339.6755835830563,5.4,1.70x2.03x4.26,176.,,.243001037422895,2460600.5,.00649276,4.05605792395145,"Otto Matic",2024-09-21
"  4183 Cuno (1959 LM)",Y,Y,1.980750484265103,.6360915878265506,6.669471756810395,294.3509786784754,237.0247168292707,175.914677166018,3.651,,3.5595,,.3535569817323524,2460600.5,.028109,2.78774379885868,"Otto Matic",2024-09-25
"  4450 Pan (1987 SY)",Y,Y,1.442535802665867,.5866248594728777,5.521269024608386,311.7017387373149,291.9407634183159,192.170310904508,,,56.48,,.568871494947605,2460600.5,.0288838,1.73259917594981,"Otto Matic",2022-12-24
"  4486 Mithra (1987 SB)",Y,Y,2.205373631226819,.6619913440441989,3.041107215606681,82.18113013375233,169.1179085940647,156.613765545482,1.849,"2.35 x 1.65 x 1.44",67.5,,.300940617330738,2460600.5,.0461743,3.27515206192436,"Otto Matic",2023-12-06
"  4581 Asclepius (1989 FC)",Y,Y,1.022602009379887,.3569674282971136,4.917735561894951,180.2012457802919,255.3754532170636,212.1158581762165,,,8.008,,.9531123813217353,2460600.5,.003132,1.03411339804518,"Otto Matic",2021-04-18
"  4660 Nereus (1982 DB)",Y,Y,1.485085761375299,.3587166810372788,1.453445017479194,313.1102546180153,159.5393790893844,191.961180653552,0.33,,15.1749,,.5445989160385308,2460600.5,.00366931,1.80982050154838,"Otto Matic",2024-01-02
"  4769 Castalia (1989 PB)",Y,Y,1.063076936853316,.4832122542230088,8.884712838004843,325.5093202802883,121.4403933980966,324.1133403265626,1.4,,4.095,,.8992015137993499,2460600.5,.0205044,1.09611279367518,"Otto Matic",2024-09-20
"  4953 (1990 MU)",Y,Y,1.621284202041133,.6574358705546687,24.37841461540332,77.53197775630956,77.92957613544024,285.0236928473897,,,14.218,,.4774362029514951,2460600.5,.025903,2.06441463230992,"Otto Matic",2024-09-29
