"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer"
"  177P/Barnard",Y,,24.3,0.9544,31.22,272.07,60.45,358.96,,,,,0.008226,2453849.5,0.31,120,"Otto Matic"
"  181P/Shoemaker-Levy 6",Y,,3.839,0.7073,16.98,37.68,333.80,11.75,,,,,0.131,2456908.5,0.156,7.52,"Ryan S. Park"
"  182P/LONEOS",Y,,2.931,0.6663,16.91,75.10,51.43,184.06,,,,,0.1964,2453241.5,0.109,5.02,"Otto Matic"
"  185P/Petriew",Y,,3.1,0.6988,14.00,214.10,181.94,176.38,,,,,0.1805,2457129.5,0.0613,5.46,"Shantanu Naidu"
"  189P/NEAT",Y,,2.918,0.5976,20.40,282.20,15.31,98.30,,,,,0.1978,2454804.5,0.167,4.98,"Otto Matic"
"  197P/LINEAR",Y,,2.867,0.6299,25.56,66.40,188.75,238.00,,,,,0.203,2454004.5,0.0508,4.86,"Otto Matic"
"  206P/Barnard-Boattini",Y,,3.234,0.6485,33.20,204.38,181.36,217.44,,,,,0.1695,2453922.5,0.141,5.81,"Otto Matic"
"  207P/NEAT",Y,,3.872,0.7591,10.19,198.34,273.00,248.36,,,,,0.1294,2459478.5,0.14,7.62,"Otto Matic"
"  209P/LINEAR",Y,,2.949,0.6819,21.33,62.88,152.64,224.42,,,,,0.1946,2456081.5,0.0265,5.06,"Otto Matic"
"  210P/Christensen",Y,,3.176,0.8317,10.22,93.87,345.77,71.41,,,,,0.1742,2455230.5,0.17,5.66,"Otto Matic"
"  217P/LINEAR",Y,,3.944,0.6896,12.88,125.62,246.77,44.92,,,,,0.1258,2455440.5,0.308,7.83,"Otto Matic"
"  222P/LINEAR",Y,,2.857,0.7268,5.15,7.13,345.43,267.12,,,,,0.204,2454620.5,0.0628,4.83,"Otto Matic"
"  249P/LINEAR",Y,,2.77,0.8187,8.40,239.85,64.81,255.31,,,,,0.2138,2456863.5,0.0482,4.61,"Otto Matic"
"  252P/LINEAR",Y,,3.047,0.6731,10.42,190.95,343.31,16.63,,,,,0.1853,2457552.5,0.0122,5.32,"Davide Farnocchia"
"  255P/Levy",Y,,3.025,0.6720,18.33,279.78,179.59,82.56,,,,,0.1874,2454456.5,0.00881,5.26,"Otto Matic"
"  262P/McNaught-Russell",Y,,6.935,0.8154,29.08,218.01,171.17,341.30,,,,,0.05396,2455919.5,0.291,18.3,"Otto Matic"
"  263P/Gibbs",Y,,3.06,0.5878,11.54,105.81,34.57,71.27,,,,,0.1841,2458413.5,0.299,5.35,"Otto Matic"
"  273P/Pons-Gambart",Y,,32.83,0.9753,136.40,320.43,20.19,0.46,,,,,0.005239,2456369.5,0.172,188,"Otto Matic"
"  289P/Blanpain",Y,,3.045,0.6851,5.90,68.92,9.85,342.94,,,,,0.1855,2458746.5,0.0168,5.31,"Shantanu Naidu"
"  294P/LINEAR",Y,,3.194,0.5986,18.54,314.34,234.17,141.45,,,,,0.1726,2455453.5,0.379,5.71,"Otto Matic"
"  300P/Catalina",Y,,2.699,0.6916,5.68,95.69,222.87,292.86,,,,,0.2223,2458122.5,0.0218,4.43,"Davide Farnocchia"
"  306P/LINEAR",Y,,3.104,0.5983,8.36,341.50,0.77,96.98,,,,,0.1802,2453403.5,0.239,5.47,"Otto Matic"
"  317P/WISE",Y,,2.957,0.5802,11.96,275.69,334.74,203.07,,,,,0.1939,2456433.5,0.241,5.08,"Otto Matic"
"  319P/Catalina-McNaught",Y,,3.573,0.6650,15.07,111.37,203.68,263.69,,,,,0.1459,2456545.5,0.2,6.75,"Otto Matic"
"  320P/McNaught",Y,,3.103,0.6824,4.89,295.96,0.67,73.92,,,,,0.1803,2455658.5,0.0279,5.47,"Otto Matic"
"  321P/SOHO",Y,,2.427,0.9807,19.74,165.27,172.41,28.99,,,,,0.2607,2453458.5,0.086,3.78,"Otto Matic"
"  322P/SOHO",Y,,2.516,0.9787,12.59,359.52,49.05,337.76,,,,,0.2469,2457179.5,0.0922,3.99,"Davide Farnocchia"
"  323P/SOHO",Y,,2.582,0.9848,5.37,324.23,353.17,6.50,,,,,0.2376,2459259.5,0.0222,4.15,"Davide Farnocchia"
"  323P/SOHO-B",Y,,2.888,0.9843,5.43,323.70,354.85,8.77,,,,,0.2009,2459275.5,0.028,4.91,"Davide Farnocchia"
"  323P/SOHO-C",Y,,2.61,0.9811,5.26,324.67,354.65,10.31,,,,,0.2338,2459275.5,0.0279,4.22,"Davide Farnocchia"
"  325P/Yang-Gao",Y,,3.406,0.6243,16.33,258.85,347.00,157.54,,,,,0.1568,2455978.5,0.27,6.29,"Otto Matic"
"  333P/LINEAR",Y,,4.223,0.7360,131.88,115.56,26.15,324.92,,,21.04,,0.1136,2457173.5,0.177,8.68,"Otto Matic"
"  342P/SOHO",Y,,3.043,0.9826,13.27,43.40,58.70,5.45,,,,,0.1857,2457600.5,0.132,5.31,"Davide Farnocchia"
"  364P/PANSTARRS",Y,,2.878,0.7226,12.15,46.22,211.97,122.02,,,,,0.2018,2458898.5,0.0866,4.88,"Otto Matic"
"  384P/Kowalski",Y,,2.907,0.6154,7.28,354.39,37.38,279.20,,,,,0.1989,2458361.5,0.141,4.96,"Otto Matic"
"  387P/Boattini",Y,,4.799,0.7360,8.90,259.36,162.78,208.93,,,,,0.09375,2457120.5,0.286,10.5,"Otto Matic"
"  405P/Lemmon",Y,,3.607,0.6891,9.37,3.31,112.29,199.34,,,,,0.1439,2458091.5,0.204,6.85,"Otto Matic"
"  414P/STEREO",Y,,2.795,0.8117,23.38,257.79,210.74,357.81,,,,,0.2109,2459229.5,0.32,4.67,"Shantanu Naidu"
"  460P/PANSTARRS",Y,,3.022,0.6663,18.92,180.53,351.90,6.09,,,36.6,,0.1876,2457495.5,0.0163,5.25,"Otto Matic"
"  463P/NEOWISE",Y,,2.976,0.8253,29.44,283.72,215.91,244.87,,,,,0.1919,2459433.5,0.342,5.13,"Otto Matic"
"  479P/Elenin",Y,,5.62,0.7786,15.39,295.85,263.49,328.31,,,,,0.07398,2460007.5,0.383,13.3,"Otto Matic"
