"full_name","neo","pha","a","e","i","om","w","ma","diameter","extent","rot_per","GM","n","epoch","moid","per_y","producer"
"437844 (1999 MN)",Y,Y,0.674,0.6654,2.03,81.42,9.18,115.02,,,5.495,,1.781,2460600.5,0.00604,0.553,Giorgini
"437905 (2001 XU30)",Y,Y,2.198,0.6637,8.93,72.00,107.12,348.02,,,,,0.3026,2460600.5,0.00449,3.26,"Otto Matic"
"438105 (2005 GO22)",Y,Y,1.914,0.8234,1.56,61.76,19.09,153.06,,,4.103,,0.3722,2460600.5,0.0186,2.65,"Otto Matic"
"438661 (2008 EP6)",Y,Y,1.209,0.2932,17.72,303.22,130.30,231.82,,,,,0.7415,2460600.5,0.0463,1.33,"Otto Matic"
"438908 (2009 XO)",Y,Y,1.859,0.5434,0.35,27.95,140.52,287.57,,,,,0.3889,2460600.5,0.00184,2.53,"Otto Matic"
"438955 (2010 LN14)",Y,Y,1.154,0.4746,1.47,342.96,33.25,138.77,,,3.842,,0.7953,2460600.5,0.0181,1.24,"Otto Matic"
"439313 (2012 VE82)",Y,Y,2.11,0.5437,9.92,110.40,186.45,12.64,,,,,0.3215,2460600.5,0.0481,3.07,"Otto Matic"
"439437 (2013 NK4)",Y,Y,1.023,0.5499,6.55,33.70,50.57,233.00,,,,,0.9531,2460600.5,0.0154,1.03,"Otto Matic"
"439877 (1999 XM141)",Y,Y,1.236,0.3691,21.62,72.98,105.80,337.80,,,,,0.7172,2460600.5,0.0326,1.37,"Otto Matic"
"440212 (2004 OB)",Y,Y,1.681,0.4304,3.44,174.52,223.35,55.29,,,,,0.4523,2460600.5,0.0116,2.18,"Otto Matic"
"441641 (2008 WZ13)",Y,Y,1.995,0.5625,8.20,51.73,133.93,165.73,,,,,0.3498,2460600.5,0.0123,2.82,"Otto Matic"
"441987 (2010 NY65)",Y,Y,1.003,0.3701,11.54,267.92,252.07,175.65,0.228,,4.9706,,0.9805,2460600.5,0.0171,1.01,"Otto Matic"
"442037 (2010 PR66)",Y,Y,2.927,0.6872,17.60,292.75,319.52,310.29,0.695,,2.0734,,0.1968,2460600.5,0.000703,5.01,"Otto Matic"
"442523 (2011 WU95)",Y,Y,1.667,0.4245,6.72,67.67,242.41,75.48,,,,,0.458,2460600.5,0.0482,2.15,"Otto Matic"
"443103 (2013 WT67)",Y,Y,1.035,0.1922,21.47,322.75,99.03,159.08,,,135,,0.9362,2460600.5,0.0137,1.05,"Otto Matic"
"443806 (1998 FL3)",Y,Y,1.26,0.2478,26.39,180.10,121.34,192.54,0.288,,,,0.6969,2460600.5,0.0402,1.41,"Otto Matic"
"443880 (2001 UZ16)",Y,Y,1.76,0.4263,12.67,323.10,28.63,320.12,0.228,,13.719,,0.422,2460600.5,0.0308,2.34,"Otto Matic"
"444004 (2004 AS1)",Y,Y,1.07,0.1744,17.21,322.53,262.12,174.80,,,,,0.8899,2460600.5,0.024,1.11,"Otto Matic"
"444193 (2005 SE71)",Y,Y,1.069,0.1944,24.83,39.10,78.29,22.73,0.437,,66.8,,0.8911,2460600.5,0.00214,1.11,"Otto Matic"
"444584 (2006 UK)",Y,Y,1.494,0.5389,4.75,243.92,252.35,255.97,,,5.721,,0.5398,2460600.5,0.014,1.83,"Otto Matic"
"445305 (2010 DM56)",Y,Y,1.306,0.2927,25.60,349.61,48.17,350.69,0.762,,,,0.6601,2460600.5,0.00644,1.49,"Otto Matic"
"445974 (2013 BJ18)",Y,Y,1.478,0.3640,3.71,90.82,159.61,98.51,,,,,0.5486,2460600.5,0.025,1.8,"Otto Matic"
"446791 (1998 SJ70)",Y,Y,2.237,0.7056,7.30,21.43,246.99,304.35,,,19.15,,0.2945,2460600.5,0.0271,3.35,"Otto Matic"
"446862 (2001 VB76)",Y,Y,1.459,0.3483,4.24,259.39,248.50,307.50,,,,,0.5594,2460600.5,0.0429,1.76,"Otto Matic"
"447755 (2007 JX2)",Y,Y,1.708,0.5261,4.22,44.31,87.95,320.24,,,,,0.4414,2460600.5,0.0324,2.23,"Otto Matic"
"448003 (2008 DE)",Y,Y,1.714,0.4140,14.77,55.91,179.20,114.00,,,,,0.4392,2460600.5,0.00495,2.24,"Otto Matic"
"448721 (2011 BN24)",Y,Y,1.544,0.4125,3.94,195.74,61.85,328.23,,,8,,0.5137,2460600.5,0.0163,1.92,"Otto Matic"
"450142 (1998 XN2)",Y,Y,1.998,0.5420,1.79,255.19,127.00,66.15,,,,,0.3489,2460600.5,0.00817,2.82,"Otto Matic"
"450263 (2003 WD158)",Y,Y,1.426,0.4091,16.73,92.20,102.39,17.09,,,1540.,,0.5785,2460600.5,0.0476,1.7,"Otto Matic"
"450270 (2004 AE)",Y,Y,1.432,0.3326,18.72,307.56,193.19,30.60,,,,,0.5754,2460600.5,0.0213,1.71,"Otto Matic"
